mother,mother_long,father,Y,SCA,trait
M1,VK101A,LI51,50.61666666666666,-0.3026205450733812,oil_content
M1,VK101A,LI52,51.333333333333336,0.4251572327044073,oil_content
M1,VK101A,LI53,51.16666666666666,-0.0303983228511555,oil_content
M1,VK101A,LI54,50.33333333333333,1.552935010482173,oil_content
M1,VK101A,LI6,51.633333333333326,0.9307127882599532,oil_content
M1,VK101A,LI7,51.2,-0.4137316561844883,oil_content
M1,VK101A,LI8,51.3,0.058490566037733,oil_content
M1,VK101A,LI9,49.33333333333333,0.3362683438155045,oil_content
M2,VA761A,LI1,46.85,0.9446540880503064,oil_content
M2,VA761A,LI10,46.78333333333333,-0.710901467505245,oil_content
M2,VA761A,LI11,46.883333333333326,-1.7053459119496992,oil_content
M2,VA761A,LI12,46.71666666666667,0.3613207547169779,oil_content
M2,VA761A,LI13,49.23333333333333,-0.0220125786163549,oil_content
M2,VA761A,LI14,48.61666666666666,-0.1775681341719135,oil_content
M2,VA761A,LI15,48.31666666666666,-0.0386792452830206,oil_content
M2,VA761A,LI16,48.45,-0.5886792452830178,oil_content
M2,VA761A,LI17,49.58333333333333,-0.0942348008385778,oil_content
M2,VA761A,LI18,49.150000000000006,-0.3386792452830107,oil_content
M2,VA761A,LI19,50.333333333333336,0.2390985324947507,oil_content
M2,VA761A,LI2,49.4,-0.3164570230607992,oil_content
M2,VA761A,LI20,49.13333333333334,0.0724318658280935,oil_content
M2,VA761A,LI21,49.03333333333333,1.361320754716978,oil_content
M2,VA761A,LI22,46.78333333333333,-0.4497903563941392,oil_content
M2,VA761A,LI23,48.35,0.5613207547169807,oil_content
M2,VA761A,LI24,48.86666666666666,0.3002096436058679,oil_content
M2,VA761A,LI25,46.4,-1.266457023060795,oil_content
M2,VA761A,LI27,47.63333333333334,0.2613207547169835,oil_content
M2,VA761A,LI28,47.93333333333334,-0.1664570230607935,oil_content
M2,VA761A,LI29,40.88333333333333,0.4668763102725393,oil_content
M2,VA761A,LI3,50.1,0.8946540880503164,oil_content
M2,VA761A,LI30,38.81666666666666,-0.4497903563941321,oil_content
M2,VA761A,LI31,47.33333333333334,1.0057651991614307,oil_content
M2,VA761A,LI32,49.64999999999999,-0.0720125786163592,oil_content
M2,VA761A,LI33,48.6,0.0668763102725407,oil_content
M2,VA761A,LI34,47.583333333333336,-0.2331236897274635,oil_content
M2,VA761A,LI35,47.6,0.3724318658280907,oil_content
M2,VA761A,LI36,46.61666666666666,-0.2164570230608049,oil_content
M2,VA761A,LI37,47.46666666666667,-0.3192348008385721,oil_content
M2,VA761A,LI38,48.91666666666667,-0.9109014675052408,oil_content
M2,VA761A,LI39,48.56666666666666,-0.3720125786163564,oil_content
M2,VA761A,LI4,49.96666666666667,0.6890985324947607,oil_content
M2,VA761A,LI40,49.61666666666666,-0.4775681341719107,oil_content
M2,VA761A,LI41,50.41666666666667,1.0613207547169807,oil_content
M2,VA761A,LI42,49.55,0.2946540880503079,oil_content
M2,VA761A,LI43,48.81666666666666,1.0779874213836464,oil_content
M2,VA761A,LI44,48.55,0.0502096436058607,oil_content
M2,VA761A,LI45,50.3,0.4668763102725322,oil_content
M2,VA761A,LI46,49.81666666666667,0.0724318658280935,oil_content
M2,VA761A,LI47,48.88333333333334,0.7168763102725322,oil_content
M2,VA761A,LI48,47.883333333333326,-0.2886792452830278,oil_content
M2,VA761A,LI49,49.8,0.1335429769392035,oil_content
M2,VA761A,LI5,51.516666666666666,0.6168763102725308,oil_content
M2,VA761A,LI50,46.866666666666674,0.0446540880503221,oil_content
M2,VA761A,LI51,48.25000000000001,-0.5831236897274579,oil_content
M2,VA761A,LI52,48.03333333333333,-0.7886792452830207,oil_content
M2,VA761A,LI53,48.46666666666667,-0.644234800838575,oil_content
M2,VA761A,LI54,46.66666666666667,-0.0275681341719078,oil_content
M2,VA761A,LI6,48.58333333333333,-0.0331236897274678,oil_content
M2,VA761A,LI7,49.05,-0.4775681341719107,oil_content
M2,VA761A,LI8,48.7,-0.455345911949685,oil_content
M2,VA761A,LI9,46.73333333333333,-0.1775681341719135,oil_content
M3,VK934A,LI1,46.06666666666666,-0.419811320754718,oil_content
M3,VK934A,LI10,47.5,-0.5753668763102695,oil_content
M3,VK934A,LI11,49.766666666666666,0.5968553459119477,oil_content
M3,VK934A,LI12,46.516666666666666,-0.419811320754718,oil_content
M3,VK934A,LI13,50.78333333333333,0.9468553459119492,oil_content
M3,VK934A,LI14,50.03333333333333,0.6579664570230648,oil_content
M3,VK934A,LI15,49.516666666666666,0.580188679245289,oil_content
M3,VK934A,LI16,49.8,0.1801886792452833,oil_content
M3,VK934A,LI17,49.650000000000006,-0.6087002096435938,oil_content
M3,VK934A,LI18,49.266666666666666,-0.8031446540880438,oil_content
M3,VK934A,LI19,49.91666666666667,-0.7587002096436066,oil_content
M3,VK934A,LI2,49.43333333333334,-0.8642557651991538,oil_content
M3,VK934A,LI21,46.56666666666666,-1.6864779874213838,oil_content
M3,VK934A,LI22,47.53333333333333,-0.2809224318658323,oil_content
M3,VK934A,LI23,47.73333333333333,-0.6364779874213795,oil_content
M3,VK934A,LI24,49.63333333333333,0.4857442348008476,oil_content
M3,VK934A,LI25,49.33333333333333,1.085744234800842,oil_content
M3,VK934A,LI26,47.98333333333333,-0.6170335429769338,oil_content
M3,VK934A,LI27,47.23333333333333,-0.7198113207547152,oil_content
M3,VK934A,LI28,48.900000000000006,0.2190775681341819,oil_content
M3,VK934A,LI29,40.08333333333333,-0.914255765199158,oil_content
M3,VK934A,LI3,49.38333333333333,-0.4031446540880452,oil_content
M3,VK934A,LI30,41.83333333333333,1.9857442348008405,oil_content
M3,VK934A,LI31,47.266666666666666,0.3579664570230605,oil_content
M3,VK934A,LI32,50.75,0.4468553459119562,oil_content
M3,VK934A,LI33,49.516666666666666,0.4024109014675119,oil_content
M3,VK934A,LI34,49.266666666666666,0.8690775681341734,oil_content
M3,VK934A,LI35,48.516666666666666,0.7079664570230619,oil_content
M3,VK934A,LI36,47.78333333333333,0.3690775681341733,oil_content
M3,VK934A,LI37,49.883333333333326,1.516299790356392,oil_content
M3,VK934A,LI38,51.9,1.4912997903563934,oil_content
M3,VK934A,LI39,50.1,0.580188679245282,oil_content
M3,VK934A,LI4,49.53333333333333,-0.3253668763102695,oil_content
M3,VK934A,LI40,51.26666666666667,0.591299790356409,oil_content
M3,VK934A,LI41,48.89999999999999,-1.0364779874213923,oil_content
M3,VK934A,LI42,50.15,0.3135220125786162,oil_content
M3,VK934A,LI43,46.883333333333326,-1.4364779874213838,oil_content
M3,VK934A,LI44,49.33333333333334,0.2524109014675133,oil_content
M3,VK934A,LI45,49.16666666666666,-1.2475890985324938,oil_content
M3,VK934A,LI46,49.61666666666666,-0.7087002096436095,oil_content
M3,VK934A,LI47,47.63333333333334,-1.114255765199161,oil_content
M3,VK934A,LI48,49.28333333333333,0.5301886792452848,oil_content
M3,VK934A,LI49,51.61666666666666,1.3690775681341734,oil_content
M3,VK934A,LI5,50.73333333333333,-0.7475890985324938,oil_content
M3,VK934A,LI50,47.33333333333333,-0.0698113207547166,oil_content
